Age,Race,Sex,Education,Weight
55 to 59 years,Hispanic,Female,Bachelor's degree,156
55 to 59 years,Hispanic,Female,Master's degree,50
55 to 59 years,Hispanic,Female,Professional degree,2
55 to 59 years,Hispanic,Female,Doctoral degree,16
60 to 64 years,Hispanic,Female,None,15
60 to 64 years,Hispanic,Female,1st - 4th grade,63
60 to 64 years,Hispanic,Female,5th - 6th grade,106
60 to 64 years,Hispanic,Female,7th - 8th grade,63
60 to 64 years,Hispanic,Female,9th grade,42
60 to 64 years,Hispanic,Female,10th grade,31
60 to 64 years,Hispanic,Female,11th grade2,48
60 to 64 years,Hispanic,Female,High school graduate,309
60 to 64 years,Hispanic,Female,"Some college, no degree",120
60 to 64 years,Hispanic,Female,"Associate's degree, occupational",27
60 to 64 years,Hispanic,Female,"Associate's degree, academic",55
60 to 64 years,Hispanic,Female,Bachelor's degree,95
60 to 64 years,Hispanic,Female,Master's degree,46
60 to 64 years,Hispanic,Female,Professional degree,3
60 to 64 years,Hispanic,Female,Doctoral degree,8
65 to 69 years,Hispanic,Female,None,19
65 to 69 years,Hispanic,Female,1st - 4th grade,54
65 to 69 years,Hispanic,Female,5th - 6th grade,93
65 to 69 years,Hispanic,Female,7th - 8th grade,60
65 to 69 years,Hispanic,Female,9th grade,35
65 to 69 years,Hispanic,Female,10th grade,26
65 to 69 years,Hispanic,Female,11th grade2,56
65 to 69 years,Hispanic,Female,High school graduate,229
65 to 69 years,Hispanic,Female,"Some college, no degree",115
65 to 69 years,Hispanic,Female,"Associate's degree, occupational",26
65 to 69 years,Hispanic,Female,"Associate's degree, academic",35
65 to 69 years,Hispanic,Female,Bachelor's degree,81
65 to 69 years,Hispanic,Female,Master's degree,13
65 to 69 years,Hispanic,Female,Professional degree,8
65 to 69 years,Hispanic,Female,Doctoral degree,7
70 to 74 years,Hispanic,Female,None,12
70 to 74 years,Hispanic,Female,1st - 4th grade,53
70 to 74 years,Hispanic,Female,5th - 6th grade,69
70 to 74 years,Hispanic,Female,7th - 8th grade,25
70 to 74 years,Hispanic,Female,9th grade,24
70 to 74 years,Hispanic,Female,10th grade,16
70 to 74 years,Hispanic,Female,11th grade2,26
70 to 74 years,Hispanic,Female,High school graduate,158
70 to 74 years,Hispanic,Female,"Some college, no degree",55
70 to 74 years,Hispanic,Female,"Associate's degree, occupational",27
70 to 74 years,Hispanic,Female,"Associate's degree, academic",21
70 to 74 years,Hispanic,Female,Bachelor's degree,40
70 to 74 years,Hispanic,Female,Master's degree,21
70 to 74 years,Hispanic,Female,Professional degree,0
70 to 74 years,Hispanic,Female,Doctoral degree,2
75 years and over,Hispanic,Female,None,53
75 years and over,Hispanic,Female,1st - 4th grade,86
75 years and over,Hispanic,Female,5th - 6th grade,111
75 years and over,Hispanic,Female,7th - 8th grade,82
75 years and over,Hispanic,Female,9th grade,38
75 years and over,Hispanic,Female,10th grade,22
75 years and over,Hispanic,Female,11th grade2,41
75 years and over,Hispanic,Female,High school graduate,236
75 years and over,Hispanic,Female,"Some college, no degree",85
75 years and over,Hispanic,Female,"Associate's degree, occupational",18
75 years and over,Hispanic,Female,"Associate's degree, academic",13
75 years and over,Hispanic,Female,Bachelor's degree,75
75 years and over,Hispanic,Female,Master's degree,21
75 years and over,Hispanic,Female,Professional degree,5
75 years and over,Hispanic,Female,Doctoral degree,7
18 to 24 years,Hispanic,Male,None,10
18 to 24 years,Hispanic,Male,1st - 4th grade,18
18 to 24 years,Hispanic,Male,5th - 6th grade,45
18 to 24 years,Hispanic,Male,7th - 8th grade,43
18 to 24 years,Hispanic,Male,9th grade,54
18 to 24 years,Hispanic,Male,10th grade,84
18 to 24 years,Hispanic,Male,11th grade2,497
18 to 24 years,Hispanic,Male,High school graduate,1207
18 to 24 years,Hispanic,Male,"Some college, no degree",1064
18 to 24 years,Hispanic,Male,"Associate's degree, occupational",63
18 to 24 years,Hispanic,Male,"Associate's degree, academic",78
18 to 24 years,Hispanic,Male,Bachelor's degree,121
18 to 24 years,Hispanic,Male,Master's degree,8
18 to 24 years,Hispanic,Male,Professional degree,0
18 to 24 years,Hispanic,Male,Doctoral degree,0
25 to 29 years,Hispanic,Male,None,6
25 to 29 years,Hispanic,Male,1st - 4th grade,43
25 to 29 years,Hispanic,Male,5th - 6th grade,64
25 to 29 years,Hispanic,Male,7th - 8th grade,57
25 to 29 years,Hispanic,Male,9th grade,50
25 to 29 years,Hispanic,Male,10th grade,78
25 to 29 years,Hispanic,Male,11th grade2,168
25 to 29 years,Hispanic,Male,High school graduate,904
25 to 29 years,Hispanic,Male,"Some college, no degree",507
25 to 29 years,Hispanic,Male,"Associate's degree, occupational",66
25 to 29 years,Hispanic,Male,"Associate's degree, academic",104
25 to 29 years,Hispanic,Male,Bachelor's degree,292
25 to 29 years,Hispanic,Male,Master's degree,56
25 to 29 years,Hispanic,Male,Professional degree,9
25 to 29 years,Hispanic,Male,Doctoral degree,3
30 to 34 years,Hispanic,Male,None,23
30 to 34 years,Hispanic,Male,1st - 4th grade,38
30 to 34 years,Hispanic,Male,5th - 6th grade,99
30 to 34 years,Hispanic,Male,7th - 8th grade,69
30 to 34 years,Hispanic,Male,9th grade,88
30 to 34 years,Hispanic,Male,10th grade,62
30 to 34 years,Hispanic,Male,11th grade2,154
30 to 34 years,Hispanic,Male,High school graduate,781
30 to 34 years,Hispanic,Male,"Some college, no degree",372
30 to 34 years,Hispanic,Male,"Associate's degree, occupational",68
30 to 34 years,Hispanic,Male,"Associate's degree, academic",114
30 to 34 years,Hispanic,Male,Bachelor's degree,330
30 to 34 years,Hispanic,Male,Master's degree,62
30 to 34 years,Hispanic,Male,Professional degree,7
30 to 34 years,Hispanic,Male,Doctoral degree,13
35 to 39 years,Hispanic,Male,None,16
35 to 39 years,Hispanic,Male,1st - 4th grade,55
35 to 39 years,Hispanic,Male,5th - 6th grade,191
35 to 39 years,Hispanic,Male,7th - 8th grade,116
35 to 39 years,Hispanic,Male,9th grade,107
35 to 39 years,Hispanic,Male,10th grade,62
35 to 39 years,Hispanic,Male,11th grade2,136
35 to 39 years,Hispanic,Male,High school graduate,785
35 to 39 years,Hispanic,Male,"Some college, no degree",280
35 to 39 years,Hispanic,Male,"Associate's degree, occupational",79
35 to 39 years,Hispanic,Male,"Associate's degree, academic",102
35 to 39 years,Hispanic,Male,Bachelor's degree,218
35 to 39 years,Hispanic,Male,Master's degree,70
35 to 39 years,Hispanic,Male,Professional degree,2
35 to 39 years,Hispanic,Male,Doctoral degree,6
40 to 44 years,Hispanic,Male,None,17
40 to 44 years,Hispanic,Male,1st - 4th grade,67
40 to 44 years,Hispanic,Male,5th - 6th grade,162
40 to 44 years,Hispanic,Male,7th - 8th grade,105
40 to 44 years,Hispanic,Male,9th grade,108
40 to 44 years,Hispanic,Male,10th grade,63
40 to 44 years,Hispanic,Male,11th grade2,134
40 to 44 years,Hispanic,Male,High school graduate,625
40 to 44 years,Hispanic,Male,"Some college, no degree",230
40 to 44 years,Hispanic,Male,"Associate's degree, occupational",55
40 to 44 years,Hispanic,Male,"Associate's degree, academic",76
40 to 44 years,Hispanic,Male,Bachelor's degree,209
40 to 44 years,Hispanic,Male,Master's degree,70
40 to 44 years,Hispanic,Male,Professional degree,8
40 to 44 years,Hispanic,Male,Doctoral degree,17
45 to 49 years,Hispanic,Male,None,15
45 to 49 years,Hispanic,Male,1st - 4th grade,53
45 to 49 years,Hispanic,Male,5th - 6th grade,144
45 to 49 years,Hispanic,Male,7th - 8th grade,82
45 to 49 years,Hispanic,Male,9th grade,118
45 to 49 years,Hispanic,Male,10th grade,30
45 to 49 years,Hispanic,Male,11th grade2,132
45 to 49 years,Hispanic,Male,High school graduate,610
45 to 49 years,Hispanic,Male,"Some college, no degree",191
45 to 49 years,Hispanic,Male,"Associate's degree, occupational",61
45 to 49 years,Hispanic,Male,"Associate's degree, academic",51
45 to 49 years,Hispanic,Male,Bachelor's degree,184
45 to 49 years,Hispanic,Male,Master's degree,62
45 to 49 years,Hispanic,Male,Professional degree,13
45 to 49 years,Hispanic,Male,Doctoral degree,18
50 to 54 years,Hispanic,Male,None,25
50 to 54 years,Hispanic,Male,1st - 4th grade,71
50 to 54 years,Hispanic,Male,5th - 6th grade,133
50 to 54 years,Hispanic,Male,7th - 8th grade,61
50 to 54 years,Hispanic,Male,9th grade,84
50 to 54 years,Hispanic,Male,10th grade,52
50 to 54 years,Hispanic,Male,11th grade2,110
50 to 54 years,Hispanic,Male,High school graduate,502
50 to 54 years,Hispanic,Male,"Some college, no degree",195
50 to 54 years,Hispanic,Male,"Associate's degree, occupational",54
50 to 54 years,Hispanic,Male,"Associate's degree, academic",66
50 to 54 years,Hispanic,Male,Bachelor's degree,170
50 to 54 years,Hispanic,Male,Master's degree,62
50 to 54 years,Hispanic,Male,Professional degree,1
50 to 54 years,Hispanic,Male,Doctoral degree,11
55 to 59 years,Hispanic,Male,None,21
55 to 59 years,Hispanic,Male,1st - 4th grade,32
55 to 59 years,Hispanic,Male,5th - 6th grade,127
55 to 59 years,Hispanic,Male,7th - 8th grade,58
55 to 59 years,Hispanic,Male,9th grade,72
55 to 59 years,Hispanic,Male,10th grade,53
55 to 59 years,Hispanic,Male,11th grade2,63
55 to 59 years,Hispanic,Male,High school graduate,371
55 to 59 years,Hispanic,Male,"Some college, no degree",179
55 to 59 years,Hispanic,Male,"Associate's degree, occupational",26
55 to 59 years,Hispanic,Male,"Associate's degree, academic",51
55 to 59 years,Hispanic,Male,Bachelor's degree,141
55 to 59 years,Hispanic,Male,Master's degree,43
55 to 59 years,Hispanic,Male,Professional degree,5
55 to 59 years,Hispanic,Male,Doctoral degree,10
60 to 64 years,Hispanic,Male,None,29
60 to 64 years,Hispanic,Male,1st - 4th grade,64
60 to 64 years,Hispanic,Male,5th - 6th grade,112
60 to 64 years,Hispanic,Male,7th - 8th grade,35
60 to 64 years,Hispanic,Male,9th grade,32
60 to 64 years,Hispanic,Male,10th grade,32
60 to 64 years,Hispanic,Male,11th grade2,56
60 to 64 years,Hispanic,Male,High school graduate,248
60 to 64 years,Hispanic,Male,"Some college, no degree",123
60 to 64 years,Hispanic,Male,"Associate's degree, occupational",23
60 to 64 years,Hispanic,Male,"Associate's degree, academic",32
60 to 64 years,Hispanic,Male,Bachelor's degree,124
60 to 64 years,Hispanic,Male,Master's degree,38
60 to 64 years,Hispanic,Male,Professional degree,12
60 to 64 years,Hispanic,Male,Doctoral degree,7
65 to 69 years,Hispanic,Male,None,10
65 to 69 years,Hispanic,Male,1st - 4th grade,44
65 to 69 years,Hispanic,Male,5th - 6th grade,70
65 to 69 years,Hispanic,Male,7th - 8th grade,47
65 to 69 years,Hispanic,Male,9th grade,32
65 to 69 years,Hispanic,Male,10th grade,26
65 to 69 years,Hispanic,Male,11th grade2,37
65 to 69 years,Hispanic,Male,High school graduate,202
65 to 69 years,Hispanic,Male,"Some college, no degree",76
65 to 69 years,Hispanic,Male,"Associate's degree, occupational",18
65 to 69 years,Hispanic,Male,"Associate's degree, academic",24
65 to 69 years,Hispanic,Male,Bachelor's degree,84
65 to 69 years,Hispanic,Male,Master's degree,28
65 to 69 years,Hispanic,Male,Professional degree,9
65 to 69 years,Hispanic,Male,Doctoral degree,11
70 to 74 years,Hispanic,Male,None,9
70 to 74 years,Hispanic,Male,1st - 4th grade,32
70 to 74 years,Hispanic,Male,5th - 6th grade,32
70 to 74 years,Hispanic,Male,7th - 8th grade,30
70 to 74 years,Hispanic,Male,9th grade,24
70 to 74 years,Hispanic,Male,10th grade,2
70 to 74 years,Hispanic,Male,11th grade2,13
70 to 74 years,Hispanic,Male,High school graduate,129
70 to 74 years,Hispanic,Male,"Some college, no degree",50
70 to 74 years,Hispanic,Male,"Associate's degree, occupational",13
70 to 74 years,Hispanic,Male,"Associate's degree, academic",10
70 to 74 years,Hispanic,Male,Bachelor's degree,43
70 to 74 years,Hispanic,Male,Master's degree,20
70 to 74 years,Hispanic,Male,Professional degree,2
70 to 74 years,Hispanic,Male,Doctoral degree,6
75 years and over,Hispanic,Male,None,31
75 years and over,Hispanic,Male,1st - 4th grade,70
75 years and over,Hispanic,Male,5th - 6th grade,82
75 years and over,Hispanic,Male,7th - 8th grade,53
75 years and over,Hispanic,Male,9th grade,32
75 years and over,Hispanic,Male,10th grade,20
75 years and over,Hispanic,Male,11th grade2,17
75 years and over,Hispanic,Male,High school graduate,171
75 years and over,Hispanic,Male,"Some college, no degree",44
75 years and over,Hispanic,Male,"Associate's degree, occupational",8
75 years and over,Hispanic,Male,"Associate's degree, academic",16
75 years and over,Hispanic,Male,Bachelor's degree,46
75 years and over,Hispanic,Male,Master's degree,19
75 years and over,Hispanic,Male,Professional degree,9
75 years and over,Hispanic,Male,Doctoral degree,6
18 to 24 years,Asian,Male,None,3
18 to 24 years,Asian,Male,1st - 4th grade,5
18 to 24 years,Asian,Male,5th - 6th grade,3
18 to 24 years,Asian,Male,7th - 8th grade,3
18 to 24 years,Asian,Male,9th grade,0
18 to 24 years,Asian,Male,10th grade,9
18 to 24 years,Asian,Male,11th grade2,62
18 to 24 years,Asian,Male,High school graduate,156
18 to 24 years,Asian,Male,"Some college, no degree",482
18 to 24 years,Asian,Male,"Associate's degree, occupational",12
18 to 24 years,Asian,Male,"Associate's degree, academic",18
18 to 24 years,Asian,Male,Bachelor's degree,146
18 to 24 years,Asian,Male,Master's degree,15
18 to 24 years,Asian,Male,Professional degree,0
18 to 24 years,Asian,Male,Doctoral degree,0
25 to 29 years,Asian,Male,None,0
25 to 29 years,Asian,Male,1st - 4th grade,0
25 to 29 years,Asian,Male,5th - 6th grade,0
25 to 29 years,Asian,Male,7th - 8th grade,3
25 to 29 years,Asian,Male,9th grade,2
25 to 29 years,Asian,Male,10th grade,5
25 to 29 years,Asian,Male,11th grade2,10
25 to 29 years,Asian,Male,High school graduate,143
25 to 29 years,Asian,Male,"Some college, no degree",146
25 to 29 years,Asian,Male,"Associate's degree, occupational",14
25 to 29 years,Asian,Male,"Associate's degree, academic",44
25 to 29 years,Asian,Male,Bachelor's degree,290
25 to 29 years,Asian,Male,Master's degree,181
25 to 29 years,Asian,Male,Professional degree,13
25 to 29 years,Asian,Male,Doctoral degree,26
30 to 34 years,Asian,Male,None,0
30 to 34 years,Asian,Male,1st - 4th grade,8
30 to 34 years,Asian,Male,5th - 6th grade,2
30 to 34 years,Asian,Male,7th - 8th grade,6
30 to 34 years,Asian,Male,9th grade,5
30 to 34 years,Asian,Male,10th grade,2
30 to 34 years,Asian,Male,11th grade2,5
30 to 34 years,Asian,Male,High school graduate,117
30 to 34 years,Asian,Male,"Some college, no degree",79
30 to 34 years,Asian,Male,"Associate's degree, occupational",16
30 to 34 years,Asian,Male,"Associate's degree, academic",30
30 to 34 years,Asian,Male,Bachelor's degree,236
30 to 34 years,Asian,Male,Master's degree,194
30 to 34 years,Asian,Male,Professional degree,19
30 to 34 years,Asian,Male,Doctoral degree,44
35 to 39 years,Asian,Male,None,0
35 to 39 years,Asian,Male,1st - 4th grade,3
35 to 39 years,Asian,Male,5th - 6th grade,3
35 to 39 years,Asian,Male,7th - 8th grade,5
35 to 39 years,Asian,Male,9th grade,12
35 to 39 years,Asian,Male,10th grade,4
35 to 39 years,Asian,Male,11th grade2,12
35 to 39 years,Asian,Male,High school graduate,114
35 to 39 years,Asian,Male,"Some college, no degree",53
35 to 39 years,Asian,Male,"Associate's degree, occupational",14
35 to 39 years,Asian,Male,"Associate's degree, academic",30
35 to 39 years,Asian,Male,Bachelor's degree,208
35 to 39 years,Asian,Male,Master's degree,164
35 to 39 years,Asian,Male,Professional degree,13
35 to 39 years,Asian,Male,Doctoral degree,44
40 to 44 years,Asian,Male,None,0
40 to 44 years,Asian,Male,1st - 4th grade,6
40 to 44 years,Asian,Male,5th - 6th grade,0
40 to 44 years,Asian,Male,7th - 8th grade,11
40 to 44 years,Asian,Male,9th grade,2
40 to 44 years,Asian,Male,10th grade,2
40 to 44 years,Asian,Male,11th grade2,16
40 to 44 years,Asian,Male,High school graduate,96
40 to 44 years,Asian,Male,"Some college, no degree",66
40 to 44 years,Asian,Male,"Associate's degree, occupational",10
40 to 44 years,Asian,Male,"Associate's degree, academic",19
40 to 44 years,Asian,Male,Bachelor's degree,220
40 to 44 years,Asian,Male,Master's degree,187
40 to 44 years,Asian,Male,Professional degree,13
40 to 44 years,Asian,Male,Doctoral degree,58
45 to 49 years,Asian,Male,None,3
45 to 49 years,Asian,Male,1st - 4th grade,2
45 to 49 years,Asian,Male,5th - 6th grade,4
45 to 49 years,Asian,Male,7th - 8th grade,6
45 to 49 years,Asian,Male,9th grade,4
45 to 49 years,Asian,Male,10th grade,2
45 to 49 years,Asian,Male,11th grade2,9
45 to 49 years,Asian,Male,High school graduate,141
45 to 49 years,Asian,Male,"Some college, no degree",70
45 to 49 years,Asian,Male,"Associate's degree, occupational",18
45 to 49 years,Asian,Male,"Associate's degree, academic",20
45 to 49 years,Asian,Male,Bachelor's degree,200
45 to 49 years,Asian,Male,Master's degree,117
45 to 49 years,Asian,Male,Professional degree,18
45 to 49 years,Asian,Male,Doctoral degree,46
50 to 54 years,Asian,Male,None,4
50 to 54 years,Asian,Male,1st - 4th grade,1
50 to 54 years,Asian,Male,5th - 6th grade,8
50 to 54 years,Asian,Male,7th - 8th grade,9
50 to 54 years,Asian,Male,9th grade,6
50 to 54 years,Asian,Male,10th grade,7
50 to 54 years,Asian,Male,11th grade2,9
50 to 54 years,Asian,Male,High school graduate,117
50 to 54 years,Asian,Male,"Some college, no degree",49
50 to 54 years,Asian,Male,"Associate's degree, occupational",13
50 to 54 years,Asian,Male,"Associate's degree, academic",26
50 to 54 years,Asian,Male,Bachelor's degree,109
50 to 54 years,Asian,Male,Master's degree,124
50 to 54 years,Asian,Male,Professional degree,14
50 to 54 years,Asian,Male,Doctoral degree,51
55 to 59 years,Asian,Male,None,4
55 to 59 years,Asian,Male,1st - 4th grade,5
55 to 59 years,Asian,Male,5th - 6th grade,12
55 to 59 years,Asian,Male,7th - 8th grade,3
55 to 59 years,Asian,Male,9th grade,3
55 to 59 years,Asian,Male,10th grade,10
55 to 59 years,Asian,Male,11th grade2,15
55 to 59 years,Asian,Male,High school graduate,114
55 to 59 years,Asian,Male,"Some college, no degree",59
55 to 59 years,Asian,Male,"Associate's degree, occupational",8
55 to 59 years,Asian,Male,"Associate's degree, academic",26
55 to 59 years,Asian,Male,Bachelor's degree,150
55 to 59 years,Asian,Male,Master's degree,80
55 to 59 years,Asian,Male,Professional degree,12
55 to 59 years,Asian,Male,Doctoral degree,36
60 to 64 years,Asian,Male,None,7
60 to 64 years,Asian,Male,1st - 4th grade,3
60 to 64 years,Asian,Male,5th - 6th grade,9
60 to 64 years,Asian,Male,7th - 8th grade,13
60 to 64 years,Asian,Male,9th grade,0
60 to 64 years,Asian,Male,10th grade,12
60 to 64 years,Asian,Male,11th grade2,13
60 to 64 years,Asian,Male,High school graduate,104
60 to 64 years,Asian,Male,"Some college, no degree",41
60 to 64 years,Asian,Male,"Associate's degree, occupational",7
60 to 64 years,Asian,Male,"Associate's degree, academic",12
60 to 64 years,Asian,Male,Bachelor's degree,115
60 to 64 years,Asian,Male,Master's degree,47
60 to 64 years,Asian,Male,Professional degree,14
60 to 64 years,Asian,Male,Doctoral degree,26
65 to 69 years,Asian,Male,None,4
65 to 69 years,Asian,Male,1st - 4th grade,4
65 to 69 years,Asian,Male,5th - 6th grade,16
65 to 69 years,Asian,Male,7th - 8th grade,10
65 to 69 years,Asian,Male,9th grade,5
65 to 69 years,Asian,Male,10th grade,3
65 to 69 years,Asian,Male,11th grade2,13
65 to 69 years,Asian,Male,High school graduate,95
65 to 69 years,Asian,Male,"Some college, no degree",38
65 to 69 years,Asian,Male,"Associate's degree, occupational",3
65 to 69 years,Asian,Male,"Associate's degree, academic",16
65 to 69 years,Asian,Male,Bachelor's degree,89
65 to 69 years,Asian,Male,Master's degree,42
65 to 69 years,Asian,Male,Professional degree,10
65 to 69 years,Asian,Male,Doctoral degree,15
70 to 74 years,Asian,Male,None,2
70 to 74 years,Asian,Male,1st - 4th grade,5
70 to 74 years,Asian,Male,5th - 6th grade,11
70 to 74 years,Asian,Male,7th - 8th grade,7
70 to 74 years,Asian,Male,9th grade,7
70 to 74 years,Asian,Male,10th grade,3
70 to 74 years,Asian,Male,11th grade2,5
70 to 74 years,Asian,Male,High school graduate,70
70 to 74 years,Asian,Male,"Some college, no degree",19
70 to 74 years,Asian,Male,"Associate's degree, occupational",4
70 to 74 years,Asian,Male,"Associate's degree, academic",10
70 to 74 years,Asian,Male,Bachelor's degree,61
70 to 74 years,Asian,Male,Master's degree,21
70 to 74 years,Asian,Male,Professional degree,4
70 to 74 years,Asian,Male,Doctoral degree,16
75 years and over,Asian,Male,None,4
75 years and over,Asian,Male,1st - 4th grade,10
75 years and over,Asian,Male,5th - 6th grade,10
75 years and over,Asian,Male,7th - 8th grade,5
75 years and over,Asian,Male,9th grade,5
75 years and over,Asian,Male,10th grade,8
75 years and over,Asian,Male,11th grade2,10
75 years and over,Asian,Male,High school graduate,101
75 years and over,Asian,Male,"Some college, no degree",38
75 years and over,Asian,Male,"Associate's degree, occupational",7
75 years and over,Asian,Male,"Associate's degree, academic",5
75 years and over,Asian,Male,Bachelor's degree,92
75 years and over,Asian,Male,Master's degree,34
75 years and over,Asian,Male,Professional degree,7
75 years and over,Asian,Male,Doctoral degree,24
18 to 24 years,Asian,Female,None,5
18 to 24 years,Asian,Female,1st - 4th grade,4
18 to 24 years,Asian,Female,5th - 6th grade,0
18 to 24 years,Asian,Female,7th - 8th grade,2
18 to 24 years,Asian,Female,9th grade,9
